prl,ti,channel
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
PL,T4,0
RP,T3,0
LR,T5,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
LP,T8,0
PL,T4,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
PR,T9,0
LRLP,T1,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LP,T8,0
LR,T5,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
PR,T9,0
LR,T5,0
RPRL,T10,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
PLRL,T11,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
PR,T9,0
RLRL,T2,0
LRLP,T1,0
RL,T7,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
LRLP,T1,0
RLRL,T2,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
PR,T9,0
LRLP,T1,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
RLRL,T2,0
LP,T8,0
RLRL,T2,0
PR,T9,0
RPRL,T10,0
PLRL,T11,0
